# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
operator*;(matrix x, real y);matrix;342
operator*;(matrix x, vector y);vector;342
operator*;(real x, matrix y);matrix;341
operator*;(real x, real y);real;317
operator*;(real x, row_vector y);row_vector;341
operator*;(real x, vector y);vector;341
operator*;(row_vector x, matrix y);row_vector;342
operator*;(row_vector x, real y);row_vector;342
operator*;(row_vector x, vector y);real;342
operator*;(vector x, real y);vector;341
operator*;(vector x, row_vector y);matrix;342
operator+;(int x);int;309
operator+;(int x, int y);int;309
operator+;(matrix x, matrix y);matrix;341
operator+;(matrix x, real y);matrix;342
operator+;(real x);real;317
operator+;(real x, matrix y);matrix;342
operator+;(real x, real y);real;316
operator+;(real x, row_vector y);row_vector;342
operator+;(real x, vector y);vector;342
operator+;(row_vector x, real y);row_vector;342
operator+;(row_vector x, row_vector y);row_vector;341
operator+;(vector x, real y);vector;342
operator+;(vector x, vector y);vector;341
operator-;(int x);int;309
operator-;(int x, int y);int;309
operator-;(matrix x);matrix;341
operator-;(matrix x, matrix y);matrix;341
operator-;(matrix x, real y);matrix;343
operator-;(real x);real;317
operator-;(real x, matrix y);matrix;343
operator-;(real x, real y);real;317
operator-;(real x, row_vector y);row_vector;343
operator-;(real x, vector y);vector;343
operator-;(row_vector x);row_vector;341
operator-;(row_vector x, real y);row_vector;343
operator-;(row_vector x, row_vector y);row_vector;341
operator-;(vector x);vector;341
operator-;(vector x, real y);vector;342
operator-;(vector x, vector y);vector;341
operator.*;(matrix x, matrix y);matrix;343
operator.*;(row_vector x, row_vector y);row_vector;343
operator.*;(vector x, vector y);vector;343
operator./;(matrix x, matrix y);matrix;344
operator./;(matrix x, real y);matrix;344
operator./;(real x, matrix y);matrix;344
operator./;(real x, row_vector y);row_vector;344
operator./;(real x, vector y);vector;344
operator./;(row_vector x, real y);row_vector;344
operator./;(row_vector x, row_vector y);row_vector;344
operator./;(vector x, real y);vector;343
operator./;(vector x, vector y);vector;343
operator/;(int x, int y);int;309
operator/;(matrix B, matrix A);matrix;355
operator/;(matrix x, real y);matrix;343
operator/;(real x, real y);real;317
operator/;(row_vector b, matrix A);row_vector;355
operator/;(row_vector x, real y);row_vector;343
operator/;(vector x, real y);vector;343
operator<;(int x, int y);int;312
operator<;(real x, real y);int;313
operator<=;(int x, int y);int;313
operator<=;(real x, real y);int;313
operator==;(int x, int y);int;313
operator==;(real x, real y);int;313
operator>;(int x, int y);int;313
operator>;(real x, real y);int;313
operator>=;(int x, int y);int;313
operator>=;(real x, real y);int;313
operator\;(matrix A, matrix B);matrix;355
operator\;(matrix A, vector b);vector;355
operator^;(real x, real y);real;317
operator||;(int x, int y);int;314
operator||;(real x, real y);int;314
ordered_logistic;~;real;371
ordered_logistic_log;(int k, real eta, vector c);real;371
ordered_logistic_rng;(real eta, vector c);int;371
owens_t;(real h, real a);real;326
pareto;~;real;397
pareto_ccdf_log;(reals y, reals y_min, reals alpha);real;397
pareto_cdf;(reals y, reals y_min, reals alpha);real;397
pareto_cdf_log;(reals y, reals y_min, reals alpha);real;397
pareto_log;(reals y, reals y_min, reals alpha);real;397
pareto_rng;(real y_min, real alpha);real;397
pareto_type_2;~;real;398
pareto_type_2_ccdf_log;(reals y, reals mu, reals lambda, reals alpha);real;398
pareto_type_2_cdf;(reals y, reals mu, reals lambda, reals alpha);real;398
pareto_type_2_cdf_log;(reals y, reals mu, reals lambda, reals alpha);real;398
pareto_type_2_log;(reals y, reals mu, reals lambda, reals alpha);real;398
pareto_type_2_rng;(real mu, real lambda, real alpha);real;398
pi;();real;311
poisson;~;real;375
poisson_ccdf_log;(ints n, reals lambda);real;375
poisson_cdf;(ints n, reals lambda);real;375
poisson_cdf_log;(ints n, reals lambda);real;375
poisson_log;(ints n, reals lambda);real;375
poisson_log;~;real;376
poisson_log_log;(ints n, reals alpha);real;376
poisson_log_rng;(real alpha);int;376
poisson_rng;(real lambda);int;375
positive_infinity;();real;311
pow;(real x, real y);real;321
print;(T1 x1,..., TN xN);void;307
prod;(int x[]);real;334
prod;(matrix x);real;349
prod;(real x[]);real;333
prod;(row_vector x);real;349
prod;(vector x);real;349
qr_Q;(matrix A);matrix;357
qr_R;(matrix A);matrix;357
quad_form;(matrix A, matrix B);matrix;347
quad_form;(matrix A, vector B);real;347
quad_form_diag;(matrix m, row_vector rv);matrix;347
quad_form_diag;(matrix m, vector v);matrix;347
quad_form_sym;(matrix A, matrix B);matrix;347
quad_form_sym;(matrix A, vector B);real;347
rank;(int[] v, int s);int;339
rank;(real[] v, int s);int;339
rank;(row_vector v, int s);int;359
rank;(vector v, int s);int;358
rayleigh;~;real;395
rayleigh_ccdf_log;(real y, real sigma);real;395
rayleigh_cdf;(real y, real sigma);real;395
rayleigh_cdf_log;(real y, real sigma);real;395
rayleigh_log;(reals y, reals sigma);real;395
rayleigh_rng;(real sigma);real;395
rep_array;(T x, int k, int m, int n);T[];337
rep_array;(T x, int m, int n);T[];336
rep_array;(T x, int n);T[];336
rep_matrix;(real x, int m, int n);matrix;350
rep_matrix;(row_vector rv, int m);matrix;350
rep_matrix;(vector v, int n);matrix;350
