# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = variational
#   variational
#     algorithm = meanfield (Default)
#       meanfield
#     iter = 10000 (Default)
#     grad_samples = 1 (Default)
#     elbo_samples = 100 (Default)
#     eta_adagrad = 0.5
#     tol_rel_obj = 0.014999999999999999
#     eval_elbo = 10
#     output_samples = 1000 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_mf.csv
#   diagnostic_file = elbo_mf.csv
#   refresh = 100 (Default)
lp__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-17873.7,0.375287,0.355759,0.268954,15.007,-7.28049,-4.65362,16.175,5.16658,-17.1958,20.5897,8.66156,18.9039,12.478,7.003,16.8068
-17853.2,0.377342,0.35604,0.266618,13.8509,-7.5528,-2.53266,17.1601,4.9685,-15.0646,19.6224,8.70276,17.9995,12.5159,7.27282,16.7355
-17838.2,0.376488,0.356251,0.267261,14.9106,-6.20221,-4.26537,16.6759,5.10582,-16.9416,20.2431,8.28694,17.6723,12.6316,6.78873,16.5329
-17859.6,0.376474,0.357922,0.265604,15.5075,-7.09207,-2.84713,14.8578,5.07151,-14.2311,19.0388,8.77574,18.4992,12.6747,6.78817,16.9609
-17846.8,0.37692,0.355925,0.267155,14.845,-6.70334,-4.87412,17.7182,5.06784,-17.4614,19.862,9.38683,18.0864,12.4431,6.84723,16.8004
-17871.9,0.378958,0.350993,0.270049,17.7983,-7.64099,-7.9444,17.0243,5.09152,-16.6918,19.2582,8.6828,18.2389,12.4115,7.1638,17.2252
-17870.4,0.374442,0.359798,0.26576,16.3477,-7.68625,-5.63352,15.8567,5.25326,-16.973,19.4333,8.84558,17.8952,12.4947,6.90738,17.1958
-17861.6,0.377993,0.356747,0.265261,14.9967,-6.72572,-3.55406,17.8898,4.93069,-14.4243,19.837,9.46796,17.7807,12.4379,7.19676,16.5004
-17816.7,0.373861,0.356272,0.269867,15.4727,-7.51204,-2.41655,16.1922,5.01164,-14.8888,19.5069,9.7156,17.9889,12.4739,6.99606,17.0392
-17852.7,0.374526,0.358196,0.267277,15.4285,-7.55672,-2.14828,16.5743,5.07115,-14.7758,19.5355,9.42618,18.5562,12.3928,6.97472,16.8354
-17814.9,0.375732,0.355738,0.26853,15.4177,-7.05136,-3.67417,15.7156,5.04592,-15.9968,19.6731,8.94765,17.3555,12.5031,7.02546,16.7905
-17867.4,0.377818,0.356884,0.265297,14.4222,-7.77625,-5.91353,16.7105,5.06899,-15.4844,19.0038,9.02836,18.2108,12.5621,7.08574,16.9045
-17877.6,0.3765,0.357966,0.265534,14.6914,-6.24984,-6.39995,16.3766,5.08308,-15.3831,20.3879,8.36474,17.5617,12.4296,6.84806,16.7571
-17862.5,0.377546,0.355589,0.266865,15.4563,-7.74226,1.22787,16.4863,4.97278,-17.0676,19.9051,8.93519,18.1806,12.4729,6.68931,16.8141
-17848.5,0.375278,0.355451,0.269271,16.7432,-6.17725,-5.17872,16.6914,5.02767,-15.4075,20.4854,9.50691,17.4968,12.4613,7.02246,17.1804
-17796.1,0.376102,0.353265,0.270633,15.9289,-6.41684,-7.20916,16.7786,4.94962,-17.4912,18.5627,9.48088,18.0327,12.537,6.8974,16.9404
-17812.7,0.373626,0.357015,0.26936,17.7756,-6.70432,-3.26745,16.9766,5.09248,-14.2322,18.9425,8.71088,18.2338,12.4044,6.79744,16.8394
-17839.6,0.375019,0.357671,0.26731,18.0853,-6.09056,-0.484383,16.5492,5.10947,-17.7008,19.3775,8.66631,17.5816,12.3914,6.89825,16.7234
