# stan_version_major = 2
# stan_version_minor = 7
# stan_version_patch = 0
# model = gmm_diag_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = training.data.R
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = output_nuts.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta.1,theta.2,theta.3,mu.1.1,mu.2.1,mu.3.1,mu.1.2,mu.2.2,mu.3.2,sigma.1.1,sigma.2.1,sigma.3.1,sigma.1.2,sigma.2.2,sigma.3.2
-50110.1,0.839376,0.0205171,2,3,0,0.333911,0.340826,0.325263,-7.42052,-3.42122,15.6996,4.31097,-16.5056,18.057,9.50921,14.2627,13.3263,4.79906,11.396,13.3121
-50105.3,0.741728,0.023249,3,7,0,0.332838,0.338214,0.328949,-7.4025,-3.3633,15.7265,4.3391,-16.4647,18.0811,9.37427,15.2443,12.6783,4.65978,12.1552,13.4464
-50104.5,0.595405,0.0211891,6,55,0,0.334082,0.336546,0.329372,-7.32077,-3.49652,15.75,4.27572,-16.3358,18.1864,9.30795,14.7491,12.9863,4.3141,12.4176,13.3522
-50108.7,0.842036,0.0140091,8,159,0,0.337911,0.33702,0.32507,-7.12413,-3.83079,15.7469,4.3313,-15.5568,19.3656,9.77889,14.7236,12.8834,4.20065,12.7137,12.9951
-50108.2,0.957821,0.0159588,6,55,0,0.337115,0.336763,0.326122,-7.43394,-3.37449,15.3635,4.63515,-15.6169,19.2855,9.2042,14.5009,12.7243,4.21598,12.8468,13.0583
-50109.9,0.23861,0.0233456,2,3,0,0.330698,0.341525,0.327777,-7.39401,-3.36542,15.3683,4.61043,-15.5877,19.2734,9.22387,14.2343,12.6008,4.17227,12.2332,13.0885
-50107.9,0.978293,0.00717946,8,255,0,0.335215,0.334011,0.330775,-7.93353,-3.17958,15.2861,4.79318,-15.33,18.9707,9.33004,14.4504,12.4444,4.54812,12.3237,13.408
-50107.6,0.891464,0.0109735,7,103,0,0.335467,0.338827,0.325706,-7.70052,-3.01171,15.4465,4.82479,-15.9358,18.963,9.54049,14.4461,12.334,4.58134,12.7415,13.5583
-50107.9,0.991046,0.0138621,8,135,0,0.335203,0.337177,0.32762,-6.98866,-4.27233,15.9003,4.4744,-17.0599,17.7666,9.74186,14.355,12.2271,4.51547,12.5661,13.2774
-50105.7,0.220233,0.0215802,7,107,0,0.334485,0.338242,0.327273,-7.71263,-3.57759,16.681,4.49604,-16.3436,19.1046,9.71919,14.7388,12.5188,4.53609,12.6347,13.4584
-50109,0.996732,0.00655059,8,255,0,0.334291,0.339047,0.326661,-6.99785,-3.32691,16.623,4.68118,-15.8421,17.6993,9.59194,14.5069,12.2172,4.34876,12.7542,13.1265
